"번호","수종","상태","위도","경도"
"1","소나무(반송)","","37.59111593712696","126.7219054231548"
"9","소나무(반송)","고사","37.59072821494411","126.72082555356013"
"3","소나무(반송)","","37.59128442417181","126.72171514056878"
"11","소나무(반송)","","37.590558560806556","126.71957220760336"
"14","소나무(반송)","","37.59017524473629","126.72035490226989"
"6","소나무(반송)","","37.59099765473895","126.72141615725943"
"2","소나무(반송)","","37.59157536433106","126.72187257602992"
"13","소나무(반송)","","37.59015336119455","126.71967563090482"
"4","소나무(반송)","","37.591378493105616","126.72148833550314"
"10","소나무(반송)","고사","37.59069599064051","126.72053411603987"
"12","소나무(반송)","","37.59033091501819","126.71951078754348"
"8","소나무(반송)","","37.59074283342786","126.72129255800458"
"5","소나무(반송)","","37.591175585225805","126.72140983267627"
"7","소나무(반송)","","37.59081967747931","126.72140266733727"
