"번호","수종","상태","위도","경도"
"20","소나무(조형수)","심식,솎음전지필요,유공관설치필요","37.5011784364518","127.06250561281865"
"21","소나무(조형수)","주변관목식재,유공관설치필요,수목활력도(하-상)","37.50114453936297","127.06271197623919"
"28","소나무(장송)","수간부후(중),수간상처(중),가지고사(중)","37.50246325446098","127.06081028408433"
"29","소나무(장송)","수간상처(중),이상재(지제부부후의심)","37.502393558718666","127.06055294049547"
"26","소나무(장송)","수간부후(중),수목활력도(중-중),고사지제거필요","37.501899643667585","127.06174001254907"
"27","소나무(장송)","수목활력도(하-상),가지고사(중),이상재(지제부부후의심)","37.50189320665183","127.06112365334305"
"24","소나무(장송)","가지부후(심)","37.50106544979471","127.06318406589637"
"22","소나무(장송)","가지부후(경),수간상처(심)","37.50126155429412","127.06292977525455"
"25","소나무(장송)","수간부후(중),산불피해(의심)","37.50138351973142","127.06230787331843"
"23","소나무(장송)","수간상처(중),가지고사(심),이상재(지제부부후의심)","37.501130810470855","127.06311343890413"
