"번호","수종","상태","위도","경도"
"56","모과나무","수간부후(중)","37.41859279336447","127.13621004115045"
"55","모과나무","수간부후(중)","37.41834883097052","127.13680549835517"
"54","자작나무","수간부후(심)","37.41821111197851","127.13707636729015"
"53","자작나무","수간부후(심)","37.41819979032522","127.13712718154389"
"52","자작나무","수간부후(중)","37.418190603175404","127.13727966944049"
"51","팽나무","수간부후(중)","37.41806887415981","127.137358523603"
"50","팽나무","수간부후(중)","37.418176963268884","127.13738696260897"
"49","느티나무","수간부후(심)","37.419053181604355","127.13740550842357"
"48","왕벚나무","수간부후(심)","37.41896340137094","127.13712857385401"
"47","왕벚나무","수간부후(심)","37.418979080677","127.1372048555662"
"46","층층나무","수간부후(중)","37.41893395119737","127.13727255374648"
"45","느티나무","수간부후(중)","37.419565042262434","127.13694609711308"
"44","왕벚나무","수간부후(심)","37.41888715207065","127.13683754363547"
"43","왕벚나무","수간부후(심)","37.4187521238456","127.13672997906765"
"42","왕벚나무","수간부후(중)","37.41885815319032","127.1365917867583"
"41","왕벚나무","수간부후(심)","37.418930322543936","127.13651566475924"
"40","왕벚나무","수간부후(심)","37.41907662345031","127.13661477709658"
"39","왕벚나무","수간부후(심)","37.418944209122536","127.13619373248143"
"38","왕벚나무","수간부후(심)","37.41894416682111","127.13623044685488"
"37","소나무(장송)","수간상처(경)","37.41905450221763","127.1362645370299"
"36","소나무(장송)","수간상처(경)","37.419122179292536","127.13617710960285"
"35","왕벚나무","수간부후(심)","37.419158177633385","127.13621388934028"
"34","왕벚나무","고사","37.4193267108364","127.13656721994364"
"33","이팝나무","고사","37.41931311075112","127.13664062450705"
"32","왕벚나무","수간부후(심)","37.4195161947246","127.13633315460743"
"31","왕벚나무","수간부후(심)","37.419559080889854","127.13625697864032"
"30","단풍나무","수간부후(중)","37.41875073450966","127.13598156852429"
"29","소나무(장송)","수간부후(중)","37.41892922995542","127.13550742769152"
"28","소나무(장송)","수간부후(중)","37.418969749775705","127.1355300942158"
"27","왕벚나무","수간부후(심)","37.419450145041765","127.13500283314654"
"26","왕벚나무","수간부후(심)","37.420118032628736","127.13597839234491"
"25","왕벚나무","수간부후(중)","37.42012466350592","127.13608854941383"
"24","왕벚나무","수간상처(경)","37.420054746978224","127.13616467710744"
"23","전나무(젓나무)","고사","37.42001415897394","127.13620131859076"
"22","소나무(장송)","수간상처(경)","37.41989017491278","127.13628299653995"
"21","살구나무","고사","37.41992570356519","127.13672646429899"
"20","왕벚나무","수간부후(심)","37.420653922450974","127.1361657619986"
"19","자귀나무","수간부후(중)","37.420781949168614","127.13648513490824"
"18","느티나무","수간상처(중)","37.420698304957334","127.1367448144991"
"17","계수나무","고사","37.42038523466661","127.13671600280023"
"16","계수나무","고사","37.42041446214404","127.13676406807713"
"15","매실나무","고사","37.42023628593783","127.13695861639698"
"14","느티나무","고사","37.41995202037818","127.13734219347602"
"13","계수나무","지제부부후(심)","37.419611489423474","127.13768330141359"
"12","칠엽수","수간부후(경)","37.419217216037765","127.13775036036199"
"11","왕벚나무","수간부후(심)","37.41914310584126","127.13755817929818"
"10","칠엽수","수간부후(심)","37.419095703893305","127.13764281841961"
"9","매실나무","고사","37.41906203412689","127.13754108585452"
"8","칠엽수","수간부후(심)","37.419007581696285","127.13787706497466"
"7","칠엽수","수간부후(심)","37.419020958538184","127.13799570553307"
"6","느티나무","가지부후(중)","37.41895560851163","127.13801817913372"
"5","단풍나무","고사","37.418719068753994","127.13803751430137"
"4","왕벚나무","수간부후(중)","37.41836322679594","127.13798602618617"
"3","전나무(젓나무)","고사","37.41832050103847","127.13792381616665"
"2","왕벚나무","수간부후(중)","37.41818763082834","127.13789815505811"
"1","소나무(장송)","수간상처(경)","37.41784310744628","127.13779867821883"
