"번호","수종","상태","위도","경도"
"6","소나무(장송)","수간상처(경)","37.649929","126.882394"
"34","느티나무","수간부후(심)","37.649318","126.881602"
"18","자엽자두","수간부후(심)","37.648852","126.882549"
"10","느티나무","수간부후(심)","37.649758","126.880927"
"15","소나무(장송)","수간상처(경)","37.648803","126.882963"
"45","이팝나무","수간부후(심)","37.649408","126.88148"
"37","왕벚나무","수간부후(심)","37.649329","126.882033"
"50","자엽자두","수간부후(심)","37.649771","126.882706"
"49","이팝나무","수간부후(중)","37.649579","126.882066"
"5","소나무(장송)","수간상처(중)","37.65017","126.882652"
"13","대왕참나무","수간부후(심)","37.648341","126.882799"
"8","메타세쿼이아","수간부후(심)","37.650012","126.882085"
"28","계수나무","수간부후(심)","37.648782","126.88215"
"7","소나무(장송)","수간상처(경)","37.649895","126.882556"
"41","이팝나무","수간부후(심)","37.649509","126.88182"
"26","계수나무","수간부후(심)","37.648748","126.882121"
"38","왕벚나무","수간부후(심)","37.649419","126.882092"
"51","자엽자두","수간부후(심)","37.649742","126.88274"
"47","이팝나무","수간부후(심)","37.649589","126.882194"
"39","왕벚나무","수간부후(심)","37.649406","126.882013"
"20","단풍나무","수간부후(심)","37.64894","126.882407"
"9","떡갈나무","수간부후(중)","37.649775","126.881389"
"12","모감주나무","수간부후(심)","37.648296","126.882672"
"4","소나무(장송)","수간부후(중)","37.650193","126.882901"
"11","왕벚나무","수간부후(중)","37.648901","126.881475"
"36","왕벚나무","수간부후(중)","37.649352","126.882121"
"40","왕벚나무","수간부후(심)","37.649514","126.88199"
"19","자엽자두","수간부후(심)","37.648875","126.88258"
"14","소나무(장송)","수간부후(중)","37.648405","126.883051"
"3","모감주나무","수간부후(중)","37.650153","126.883082"
"35","단풍나무","수간부후(심)","37.649297","126.88169"
"21","계수나무","수간부후(심)","37.648861","126.882252"
"30","계수나무","수간부후(심)","37.648613","126.882326"
"24","계수나무","수간부후(심)","37.648782","126.882073"
"17","느티나무","수간부후(심)","37.648738","126.88268"
"1","모감주나무","수간부후(심)","37.649135","126.8835"
"48","이팝나무","수간부후(심)","37.649593","126.882126"
"29","계수나무","수간부후(심)","37.648681","126.882263"
"32","느티나무","수간부후(심)","37.649144","126.881543"
"23","계수나무","수간부후(심)","37.648796","126.882215"
"25","계수나무","수간부후(심)","37.648762","126.882096"
"16","소나무(장송)","수간상처(경)","37.648841","126.88273"
"46","이팝나무","수간부후(심)","37.649371","126.881344"
"27","계수나무","수간부후(심)","37.648809","126.882124"
"44","이팝나무","수간부후(중)","37.64946","126.881633"
"42","이팝나무","수간부후(심)","37.649482","126.881707"
"22","자작나무","수간부후(심)","37.648811","126.882184"
"33","느티나무","수간부후(심)","37.649333","126.881438"
"31","계수나무","가지고사(심)","37.648946","126.881855"
"43","이팝나무","수간부후(심)","37.649471","126.881664"
"2","대왕참나무","수간부후(심)","37.649083","126.883668"
