"번호","수종","상태","위도","경도"
"6","감나무","수관고사(심),수목활력도(중-하)","37.40896207208114","126.66530208628271"
"7","감나무","수관고사(심),수목활력도(중-하)","37.40898024404216","126.66535565771042"
"9","꽃사과","수관고사(심),수목활력도(하-중)","37.40898276026757","126.66544883204521"
"5","소나무(장송)","가지상처(중)","37.409058730212955","126.66523106110085"
"4","소나무(장송)","수간부후(심)","37.40897465142366","126.66497164530662"
"10","꽃사과","수관고사(중),수목활력도(중-중)","37.4089806995017","126.66551661249996"
"3","소나무(장송)","수간부후(경)","37.40896348488067","126.66500558067067"
"8","산수유","수관고사(심),수목활력도(하-중) / 군식(3주)","37.40899610752762","126.66538947280031"
"2","소나무(장송)","수간상처(중)","37.40898806246587","126.66493487613226"
"1","소나무(장송)","수간상처(경)","37.409296704543465","126.66495044441841"
"20","왕벚나무","수간부후(중)","37.40951130909069","126.66516692308674"
"13","메타세쿼이아","수간부후(심),수관고사(심),수목활력도(하-중)","37.40913877465984","126.66565710018776"
"44","왕벚나무","수간부후(경)","37.410983025880384","126.66386421228682"
"16","단풍나무","수간부후(심)","37.409560648885304","126.66588677900683"
"31","왕벚나무","수간부후(심),수관고사(중)","37.41012295442603","126.66559342549098"
"64","모과나무","고사 / 2주","37.409128623263136","126.66366635976432"
"54","이팝나무","수간부후(중) / 지제부 확인 요망","37.40960664548647","126.66383647615973"
"43","왕벚나무","가지고사(중)","37.410691094271","126.66338828303445"
"32","왕벚나무","수간부후(심),수관고사(심),수목활력도(하-하)","37.41005797497767","126.66571513963412"
"49","왕벚나무","가지부후(중),수목활력도(중-하)","37.41051039484106","126.66321401219106"
"46","왕벚나무","수간부후(중) / 지제부 확인 요망","37.410449132706034","126.66384965466956"
"58","왕벚나무","수간부후(중)","37.40980458700564","126.66453025498879"
"62","단풍나무","가지고사(심) / 군식(3주)","37.40915213561838","126.66480707394017"
"65","단풍나무","수간부후(심),수목활력도(중-하)","37.40901158104004","126.66369794486192"
"39","왕벚나무","수간부후(중)","37.41046872511725","126.66440304359257"
"63","단풍나무","고사","37.40943475588974","126.66359157182661"
"52","왕벚나무","수간부후(심)","37.40965111745391","126.66363296176662"
"15","측백나무","고사","37.40956952326376","126.66583873455397"
"48","왕벚나무","고사","37.410535100058794","126.66318848683271"
"23","왕벚나무","수간부후(중)","37.409846677325326","126.665075067693"
"22","느티나무","수간부후(중),수관고사(중)","37.409607319008316","126.6648671700846"
"12","청단풍","수간부후(심),수관고사(경),수목활력도(중-하)","37.40901479868005","126.66562658929399"
"61","왕벚나무","수간부후(심)","37.40939730703986","126.66468173354032"
"30","단풍나무","수간부후(중),수관고사(중) / 군식(3주)","37.41012551837771","126.66570354411786"
"51","왕벚나무","수간부후(중) / 도장지 제거 요망","37.40967346580504","126.6635707375926"
"18","단풍나무","수간부후(중) / 군식","37.409810358402","126.66577271660897"
"59","단풍나무","수간부후(경),가지고사(중) / 군식(2주)","37.40982054685903","126.66459795586624"
"36","청단풍","수간부후(심),수관고사(경),수목활력도(중-하)","37.410498484600545","126.66536584733753"
"26","왕벚나무","수간부후(심),수관고사(심),수목활력도(하-하)","37.41000253205537","126.6660231847904"
"25","왕벚나무","수간부후(심),수관고사(심),수목활력도(하-중)","37.40997094105826","126.66600355814809"
"27","홍단풍","고사","37.41033319642618","126.66586075711888"
"11","꽃사과","수관고사(중),수목활력도(중-중)","37.40899414267119","126.66549113849355"
"34","소나무(장송)","지제부부후(중),수간상처(경),수목활력도(중-하)","37.410559813778214","126.66554630176778"
"17","단풍나무","수관고사(중),수목활력도(중-중) / 군식","37.4096647191562","126.66604727509704"
"19","왕벚나무","수간부후(심)","37.40973532279635","126.66552455274149"
"47","왕벚나무","수간부후(심),수관고사(심)","37.41048557700545","126.66320000399533"
"57","소나무(장송)","수간상처(중)","37.409415904367236","126.66409147226233"
"40","살구나무","고사","37.410376740813135","126.66453335131474"
"53","소나무(장송)","수간상처(중)","37.40956146679687","126.66379149682838"
"14","느티나무","수간부후(중)","37.40899030051978","126.66572553132161"
"60","매실나무","가지고사(심)","37.40976153286742","126.66444008431921"
"28","왕벚나무","고사","37.41008557181059","126.66591551002267"
"50","단풍나무","수간부후(중),수관고사(중),수목활력도(중-중)","37.40980851199335","126.66353342382139"
"33","전나무(젓나무)","고사","37.41034783007552","126.66545970469582"
"42","왕벚나무","고사","37.41109622125282","126.664064202199"
"29","왕벚나무","수간부후(심),수관고사(심),수목활력도(하-중)","37.41008982146196","126.66582512809642"
"45","느티나무","가지고사(중)","37.4106979360007","126.66420999804221"
"24","왕벚나무","수간부후(심),수목활력도(하-중)","37.40965111672353","126.66521995359335"
"38","왕벚나무","수간부후(중),수목활력도(중-중)","37.41064433278091","126.66437119767545"
"55","왕벚나무","수간부후(중)","37.4096974361578","126.66407891989944"
"56","왕벚나무","수간부후(중)","37.40967487093161","126.66406490150862"
"41","단풍나무","고사","37.41095005677086","126.66415239511551"
"35","메타세쿼이아","수간부후(심),수관고사(심),수목활력도(하-하)","37.41059564623872","126.66547272198848"
"37","왕벚나무","수간부후(중)","37.41037789388982","126.66493998146169"
"66","단풍나무","고사","37.40904844816191","126.66398863209935"
"21","느티나무","수간부후(중)","37.40945891736719","126.66496101728167"
