"번호","수종","상태","위도","경도"
"1","소나무(장송)","지제부부후(중) / 심식","37.58938557931416","126.9213173131409"
"5","소나무(장송)","수간상처(경)","37.59023242826648","126.92119187306203"
"12","소나무(장송)","수간상처(경)","37.5902127254915","126.9220495804264"
"8","소나무(장송)","수간상처(중)","37.590563687947075","126.92140948475607"
"9","소나무(장송)","수간상처(심)","37.59065378331902","126.92140372868828"
"4","소나무(장송)","수간부후(중)","37.589849595630646","126.92132531656932"
"13","소나무(장송)","수간상처(중)","37.59008410000318","126.92169588408127"
"16","소나무(장송)","수간상처(중)","37.59014542147271","126.92246009432961"
"15","소나무(장송)","수간상처(중),고사지제거","37.59020847041918","126.9224288917846"
"2","소나무(장송)","수간상처(중),지제부부후(중)","37.5894441343326","126.921303098401"
"14","소나무(장송)","수간부후(경)","37.59008898849149","126.92227616100654"
"18","소나무(장송)","수간상처(경)","37.58913636850653","126.92254888998687"
"10","소나무(장송)","수간상처(경)","37.59080020949792","126.92142622007518"
"11","소나무(장송)","수간상처(경)","37.59108870356413","126.92169200088607"
"3","소나무(장송)","수간상처(경)","37.58932695822274","126.92123245639362"
"6","소나무(장송)","수간상처(경),뿌리부후","37.59054786591154","126.92132741220968"
"7","소나무(장송)","수간상처(심)","37.59060868849206","126.92133584017843"
"17","소나무(장송)","수간상처(중)","37.58999452584348","126.92249138792059"
