name,lat,lng
56,37.41859279,127.13621
55,37.41834883,127.1368055
54,37.41821111,127.1370764
53,37.41819979,127.1371272
52,37.4181906,127.1372797
51,37.41806887,127.1373585
50,37.41817696,127.137387
49,37.41905318,127.1374055
48,37.4189634,127.1371286
47,37.41897908,127.1372049
46,37.41893395,127.1372726
45,37.41956504,127.1369461
44,37.41888715,127.1368375
43,37.41875212,127.13673
42,37.41885815,127.1365918
41,37.41893032,127.1365157
40,37.41907662,127.1366148
39,37.41894421,127.1361937
38,37.41894417,127.1362304
37,37.4190545,127.1362645
36,37.41912218,127.1361771
35,37.41915818,127.1362139
34,37.41932671,127.1365672
33,37.41931311,127.1366406
32,37.41951619,127.1363332
31,37.41955908,127.136257
30,37.41875073,127.1359816
29,37.41892923,127.1355074
28,37.41896975,127.1355301
27,37.41945015,127.1350028
26,37.42011803,127.1359784
25,37.42012466,127.1360885
24,37.42005475,127.1361647
23,37.42001416,127.1362013
22,37.41989017,127.136283
21,37.4199257,127.1367265
20,37.42065392,127.1361658
19,37.42078195,127.1364851
18,37.4206983,127.1367448
17,37.42038523,127.136716
16,37.42041446,127.1367641
15,37.42023629,127.1369586
14,37.41995202,127.1373422
13,37.41961149,127.1376833
12,37.41921722,127.1377504
11,37.41914311,127.1375582
10,37.4190957,127.1376428
9,37.41906203,127.1375411
8,37.41900758,127.1378771
7,37.41902096,127.1379957
6,37.41895561,127.1380182
5,37.41871907,127.1380375
4,37.41836323,127.137986
3,37.4183205,127.1379238
2,37.41818763,127.1378982
1,37.41784311,127.1377987
